,discord image,imkg image,score,timestamp,channel
22,https://images-ext-2.discordapp.net/external/fZQ9UaFllsg2MKQoyYMiCvmbubH38eO0UqnrtrPZaZ8/https/i.redd.it/wv4iy5p6swdb1.jpg,https://i.imgflip.com/100ysq.jpg,0.91651523,2023-07-24T12:48:47.943+00:00,TheDungeon
23,https://images-ext-2.discordapp.net/external/5RTzxhmKOO_9lHVgl1ZKxQca_v9m5pJ8W7vxVHD2qFw/https/i.redd.it/bd36r3k2jrdb1.jpg,https://i.imgflip.com/22mzk5.jpg,0.9381169,2023-07-23T19:05:18.301+00:00,TheDungeon
24,https://images-ext-1.discordapp.net/external/2ilRHI0O4qGBtf3IMkKhBt8ladTBV9ONBpiMJFv9OlQ/https/i.redd.it/cl0su2p44gdb1.jpg,https://i.imgflip.com/100dif.jpg,0.92710316,2023-07-22T04:41:52.999+00:00,TheDungeon
25,https://images-ext-1.discordapp.net/external/QAn9xaenr3DIZjOvinyCI2147OAEBc-1Su3X_vJ3ewg/https/i.redd.it/njyh5958hddb1.jpg,https://i.imgflip.com/5dcalr.jpg,0.90285677,2023-07-21T20:02:23.684+00:00,TheDungeon
26,https://images-ext-1.discordapp.net/external/l96w55SBvWlQPciAsH17n3jlPfrQm1H6HsgEKVXN9gQ/https/i.redd.it/6u7qj6ss29db1.jpg,https://i.imgflip.com/3qf8t3.jpg,0.9174452,2023-07-21T05:01:52.942+00:00,TheDungeon
27,https://images-ext-2.discordapp.net/external/VybbbO4OVdmbvu-M7ulE2VM46C53cxnay_8EX3b7ScE/https/i.redd.it/w587m29gx7db1.jpg,https://i.imgflip.com/2jmxz8.jpg,0.93600124,2023-07-21T01:20:23.033+00:00,TheDungeon
28,https://images-ext-1.discordapp.net/external/rl3b3CTJ3WAEjSYptbhwWyFgClrZQNePDgTljiU7-oE/https/i.redd.it/28qrf3aqn7db1.png,https://i.imgflip.com/5qsjyf.jpg,0.91817045,2023-07-21T00:33:37.649+00:00,TheDungeon
29,https://images-ext-2.discordapp.net/external/VgT_aP90xi3z1nQMp_ZECVy7WTmbT8s4Y1TU4wNztQw/https/i.redd.it/hc38t9d925db1.jpg,https://i.imgflip.com/100dif.jpg,0.9526379,2023-07-20T15:35:03.125+00:00,TheDungeon
30,https://images-ext-2.discordapp.net/external/4mLcQGl28hkn5G3n-m4cBJlTKtmQZduHByagsQVjpRw/https/i.redd.it/kkkvn1z1n3db1.jpg,https://i.imgflip.com/2c776b.jpg,0.91324383,2023-07-20T10:45:28.322+00:00,TheDungeon
31,https://images-ext-1.discordapp.net/external/S0p-24DxyJwDOxMKG5-3mxy3qgkjcc8EZtumKjUz2Jk/https/i.redd.it/sjemrkh861db1.jpg,https://i.imgflip.com/2ycy91.jpg,0.90696657,2023-07-20T02:26:32.74+00:00,TheDungeon
